,Level,Condition,p value,t stat,df,Reduction
0,0,intact,0.025163789969299678,-2.5894296527238385,11.0,PCA
1,1,intact,0.5567599594001267,0.606082483032861,11.0,PCA
2,2,intact,0.034264234119156155,2.415743241776721,11.0,PCA
3,3,intact,0.4580428223187758,0.7690777730305326,11.0,PCA
4,4,intact,0.41557706759898616,0.8460001933578586,11.0,PCA
5,5,intact,0.263718658423445,1.1778295936018335,11.0,PCA
6,6,intact,0.7203299972296646,0.3673467518879977,11.0,PCA
7,7,intact,0.5359399329122532,0.6389394631816546,11.0,PCA
8,8,intact,0.5713162577194277,-0.5835161285679249,11.0,PCA
9,9,intact,0.09220534352433757,-1.8443732429032482,11.0,PCA
10,10,intact,0.9118945488280767,-0.11322192259292123,11.0,PCA
0,0,paragraph,0.2670036341909159,1.1692822012280721,11.0,PCA
1,1,paragraph,0.00016627290994029374,5.57555773173802,11.0,PCA
2,2,paragraph,0.0072571734522136975,3.285914000464817,11.0,PCA
3,3,paragraph,0.03489343651219822,2.405465230494525,11.0,PCA
4,4,paragraph,0.11825202827340467,1.6945356971654288,11.0,PCA
5,5,paragraph,0.9076163413799203,-0.11874732619507367,11.0,PCA
6,6,paragraph,0.11100373517850026,-1.732973531698806,11.0,PCA
7,7,paragraph,0.1745881536688471,-1.4513847859082667,11.0,PCA
8,8,paragraph,0.013606767433414817,-2.933426819523417,11.0,PCA
9,9,paragraph,0.04537481068470245,-2.256436852042167,11.0,PCA
10,10,paragraph,0.008114117862936818,-3.223105593152913,11.0,PCA
0,0,word,0.07813675309248734,1.9422880097971345,11.0,PCA
1,1,word,0.046706890442256885,2.2399312365927986,11.0,PCA
2,2,word,0.07016380409884436,2.0052994564732107,11.0,PCA
3,3,word,0.21939657867800436,1.302374976654585,11.0,PCA
4,4,word,0.6766456299181538,0.42837507874994646,11.0,PCA
5,5,word,0.06996064573143566,-2.0069907381857894,11.0,PCA
6,6,word,0.6536081265849857,-0.46124671442658094,11.0,PCA
7,7,word,0.8613222565551546,-0.17883015836429622,11.0,PCA
8,8,word,0.02176081325510511,-2.6708534455182504,11.0,PCA
9,9,word,0.017639811682127426,-2.7883089030106167,11.0,PCA
10,10,word,0.005450823591838701,-3.4476266662438646,11.0,PCA
0,0,rest,0.007312425242040632,3.281641955879555,11.0,PCA
1,1,rest,0.00422361507128686,3.592697187820471,11.0,PCA
2,2,rest,0.024179982612678563,2.6117946633024545,11.0,PCA
3,3,rest,0.10360888244184993,1.7745899352620955,11.0,PCA
4,4,rest,0.8919321037076977,-0.13903913319564845,11.0,PCA
5,5,rest,0.009487349418254153,-3.1353131163161794,11.0,PCA
6,6,rest,0.17625352066820163,-1.4453000843228128,11.0,PCA
7,7,rest,0.007843935124247902,-3.242149061877528,11.0,PCA
8,8,rest,0.006941917577111055,-3.310942011728991,11.0,PCA
9,9,rest,0.009386276458041524,-3.1413208285348584,11.0,PCA
10,10,rest,0.002111949916378614,-3.9928244648923963,11.0,PCA
0,0,intact,0.6230972544684666,0.5056261451938764,11.0,eigenvector
1,1,intact,0.006162550588360522,-3.378164256881372,11.0,eigenvector
2,2,intact,0.19674237786173815,1.3741618071260975,11.0,eigenvector
3,3,intact,0.408191941672131,0.8599047749999587,11.0,eigenvector
4,4,intact,0.10020552046845042,1.7946535257098089,11.0,eigenvector
5,5,intact,0.9501058114175849,-0.06401625007631036,11.0,eigenvector
6,6,intact,0.8166587191765093,-0.2374678763150259,11.0,eigenvector
7,7,intact,0.6164967700742392,-0.5153650081556321,11.0,eigenvector
8,8,intact,0.0759405952323875,-1.9590248977480842,11.0,eigenvector
9,9,intact,0.4253483961156129,-0.8278563018577106,11.0,eigenvector
10,10,intact,0.39572010622191167,-0.8837807061688081,11.0,eigenvector
0,0,paragraph,0.000208939718832861,5.4238937990941025,11.0,eigenvector
1,1,paragraph,0.0011794660036321925,4.3376224961273415,11.0,eigenvector
2,2,paragraph,0.003356054864448249,3.724388861025947,11.0,eigenvector
3,3,paragraph,7.701671283967877e-06,7.862306034788773,11.0,eigenvector
4,4,paragraph,0.09675902926900204,1.8156123586341162,11.0,eigenvector
5,5,paragraph,0.8229420825739341,-0.22916986414273258,11.0,eigenvector
6,6,paragraph,0.014681906918693595,-2.8909106826785003,11.0,eigenvector
7,7,paragraph,0.002962644573480506,-3.7962142647279453,11.0,eigenvector
8,8,paragraph,0.0011794469930117484,-4.337632160347461,11.0,eigenvector
9,9,paragraph,5.489191432273385e-05,-6.344174249952212,11.0,eigenvector
10,10,paragraph,0.00015071392008749024,-5.641464706576847,11.0,eigenvector
0,0,word,0.0006224676978755492,4.726898960573624,11.0,eigenvector
1,1,word,0.04154087544349053,2.306678355723606,11.0,eigenvector
2,2,word,0.00034366032996163026,5.100720164692702,11.0,eigenvector
3,3,word,0.002689512474034724,3.852146998040666,11.0,eigenvector
4,4,word,0.12441503821485791,1.663476045690141,11.0,eigenvector
5,5,word,0.49729247464324977,-0.7019530593247298,11.0,eigenvector
6,6,word,0.016467137764604897,-2.8267663500155056,11.0,eigenvector
7,7,word,0.004618398942047511,-3.5417621224921345,11.0,eigenvector
8,8,word,0.0003287586500541353,-5.129124111661369,11.0,eigenvector
9,9,word,9.402273174322252e-05,-5.963875580536121,11.0,eigenvector
10,10,word,9.995151320452509e-05,-5.921529336697958,11.0,eigenvector
0,0,rest,0.2193309817798039,1.3025738312796031,11.0,eigenvector
1,1,rest,0.001458010177160468,4.211121089107431,11.0,eigenvector
2,2,rest,0.002113023483413541,3.9925273552769935,11.0,eigenvector
3,3,rest,0.003123313067555725,3.7657541754967574,11.0,eigenvector
4,4,rest,0.010536687348265633,3.076513028300267,11.0,eigenvector
5,5,rest,0.24787969158766507,1.2202633199913935,11.0,eigenvector
6,6,rest,0.34767791955892957,-0.9809973422218581,11.0,eigenvector
